timestamp,facility_name,zip_code,commercial_10x20_price,p2p_5x5_rate,monthly_spread,profitable
2026-01-28,Extra Space Storage - 6743 - Coral Springs - NW 41st St,33071,183.0,260.0,65.00,False
2026-01-28,Extra Space Storage - 4180 - Coral Springs - 124th Ave,33071,185.0,260.0,63.00,False
2026-01-28,Public Storage - Coral Springs - 12123 West Sample Road,33071,340.0,260.0,-92.00,False
2026-01-28,Extra Space Storage - 1392 - Coral Springs - Coral Ridge Dri,33071,349.0,260.0,-101.00,False
2026-01-28,Public Storage - Coral Springs - 6000 Coral Ridge Dr,33071,501.0,260.0,-253.00,False
2026-01-28,RV_BOAT_RESEARCH - Extra Space RV Storage Coral Springs,33071,47.0,282.0,223.00,True
2026-01-28,RV_BOAT_RESEARCH - Crystal Lake Outdoor Boat/RV Pompano,33064,100.0,215.0,103.00,True
2026-01-28,RV_BOAT_RESEARCH - A1 Outdoor Storage Deerfield Beach,33441,96.0,215.0,107.00,True
2026-01-28,DIRECT_HOST - Driveway RV Space (400 sq ft avg),33071,0.0,500.0,475.00,True
2026-01-28,DIRECT_HOST - Garage Storage Space,33071,0.0,200.0,190.00,True
2026-01-28,DIRECT_HOST - Outdoor Boat Space,33071,0.0,150.0,142.50,True
